id,cpu_pct_avg,rf_prob,rf_label,cnn_prob,cnn_label,final_prob,final_label,true_label,final_label_str,rf_label_str,cnn_label_str
11,5.3,0.94,1,0.7484871745109558,1,0.6865072801655645,1,1,phishing,phishing,phishing
15,6.65,0.745,1,0.8013011813163757,1,0.93298680698691,1,1,phishing,phishing,phishing
16,10.35,0.745,1,0.7881642580032349,1,0.48762320861180447,0,1,legitimate,phishing,phishing
18,1.8,0.745,1,0.5965667963027954,1,0.8285701198875932,1,1,phishing,phishing,phishing
27,1.65,0.69,1,0.884755551815033,1,0.5638924284561763,1,1,phishing,phishing,phishing
28,2.15,0.69,1,0.6735177636146545,1,0.3571159579203841,0,1,legitimate,phishing,phishing
34,5.550000000000001,0.94,1,0.5565615296363831,1,0.43658774143065343,0,1,legitimate,phishing,phishing
44,8.3,0.74,1,0.8007276058197021,1,0.5146804776946208,1,1,phishing,phishing,phishing
57,6.6,0.69,1,0.632879376411438,1,0.525125841675269,1,1,phishing,phishing,phishing
71,11.95,0.54,1,0.908702552318573,1,0.5983332072030574,1,1,phishing,phishing,phishing
75,4.2,0.54,1,0.07717009633779526,0,0.5035612751671588,1,1,phishing,phishing,legitimate
89,3.25,0.745,1,0.719650149345398,1,0.9215504413894469,1,1,phishing,phishing,phishing
90,7.4,0.745,1,0.8163058757781982,1,0.7091276941457116,1,1,phishing,phishing,phishing
115,7.6000000000000005,0.94,1,0.9230802655220032,1,0.564342752453854,1,1,phishing,phishing,phishing
124,2.35,0.745,1,0.4514017403125763,0,0.8576262189168379,1,1,phishing,phishing,legitimate
126,7.65,0.94,1,0.3523913025856018,0,0.7735728873370411,1,1,phishing,phishing,legitimate
128,7.9,0.84,1,0.9212884902954102,1,0.7163342945337431,1,1,phishing,phishing,phishing
129,5.35,0.94,1,0.7355003356933594,1,0.8546239105661105,1,1,phishing,phishing,phishing
140,2.35,0.745,1,0.7968857288360596,1,0.4262717582956083,0,1,legitimate,phishing,phishing
143,5.25,0.69,1,0.8579001426696777,1,0.4152914996476824,0,1,legitimate,phishing,phishing
145,5.05,0.745,1,0.8038280606269836,1,0.7712413202490913,1,1,phishing,phishing,phishing
147,4.6,0.745,1,0.8741824626922607,1,0.7539065483681702,1,1,phishing,phishing,phishing
152,4.1,0.94,1,0.2112000733613968,0,0.9233591514687203,1,1,phishing,phishing,legitimate
154,22.45,0.745,1,0.6611390113830566,1,0.5811530668023661,1,1,phishing,phishing,phishing
165,8.399999999999999,0.78,1,0.8964436054229736,1,0.9279724415311502,1,1,phishing,phishing,phishing
170,0.5,0.745,1,0.6327115297317505,1,0.4573516631683908,0,1,legitimate,phishing,phishing
171,4.7,0.745,1,0.6657640337944031,1,0.7301975214752991,1,1,phishing,phishing,phishing
183,2.9,0.745,1,0.7882357239723206,1,0.5755600735425245,1,1,phishing,phishing,phishing
184,6.25,0.745,1,0.6533095836639404,1,0.5468658103070076,1,1,phishing,phishing,phishing
186,17.85,0.84,1,0.9325421452522278,1,0.8148789573144694,1,1,phishing,phishing,phishing
